Producer: 2025/06/25 23:29:36 producer.go:24: 🚀 Starting 10 producer(s) at 2025-06-25 23:29:36
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-10 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-1 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-6 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-5 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-4 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-3 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-7 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-2 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-9 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-8 started
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-10: Enqueued Task ID=task-20250625232937-8105 | Type=notification
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-2: Enqueued Task ID=task-20250625232937-9047 | Type=image_resize
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-5: Enqueued Task ID=task-20250625232937-8502 | Type=data_backup
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-7: Enqueued Task ID=task-20250625232937-2889 | Type=email
Producer: 2025/06/25 23:29:37 producer.go:66: ✅ Producer-1: Enqueued Task ID=task-20250625232937-9813 | Type=email
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-3: Enqueued Task ID=task-20250625232938-3378 | Type=notification
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-8: Enqueued Task ID=task-20250625232938-6353 | Type=image_resize
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-6: Enqueued Task ID=task-20250625232938-4430 | Type=notification
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-9: Enqueued Task ID=task-20250625232938-3112 | Type=image_resize
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-10: Enqueued Task ID=task-20250625232938-1116 | Type=email
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-4: Enqueued Task ID=task-20250625232938-0899 | Type=notification
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-2: Enqueued Task ID=task-20250625232938-8697 | Type=data_backup
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-5: Enqueued Task ID=task-20250625232938-5825 | Type=notification
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-8: Enqueued Task ID=task-20250625232938-2755 | Type=data_backup
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-1: Enqueued Task ID=task-20250625232938-2099 | Type=data_backup
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-5: Enqueued Task ID=task-20250625232938-9505 | Type=email
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-9: Enqueued Task ID=task-20250625232938-8986 | Type=data_backup
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-4: Enqueued Task ID=task-20250625232938-3848 | Type=data_backup
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-3: Enqueued Task ID=task-20250625232938-5789 | Type=email
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-6: Enqueued Task ID=task-20250625232938-0433 | Type=notification
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-7: Enqueued Task ID=task-20250625232938-5658 | Type=email
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-1: Enqueued Task ID=task-20250625232938-4044 | Type=notification
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-2: Enqueued Task ID=task-20250625232938-3101 | Type=data_backup
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-10: Enqueued Task ID=task-20250625232938-5251 | Type=image_resize
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-4: Enqueued Task ID=task-20250625232938-5309 | Type=data_backup
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-9: Enqueued Task ID=task-20250625232938-0534 | Type=data_backup
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-6: Enqueued Task ID=task-20250625232938-2745 | Type=image_resize
Producer: 2025/06/25 23:29:38 producer.go:66: ✅ Producer-1: Enqueued Task ID=task-20250625232938-2941 | Type=data_backup
